name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost,listed_in_type,rating_category
Restaurant_0,Yes,Yes,4.3,63,Marathahalli,Quick Bites,"Spring Rolls, Pad Thai",Thai,300.0,Dine-out,High
Restaurant_1,No,Yes,3.9,106,BTM,Cafe,"Garlic Bread, BBQ Chicken, Margherita",Pizza,300.0,Dine-out,Medium
Restaurant_2,No,No,3.9,228,Bellandur,Fine Dining,"Brownie, Cheesecake, Cold Coffee",Cafe,2150.0,Dine-out,Medium
Restaurant_3,Yes,No,3.8,62,Yelahanka,Bakery,"Bhel, Vada Pav",Street Food,150.0,Dine-out,Medium
Restaurant_4,Yes,No,4.2,1064,Rajajinagar,Fine Dining,"Filter Coffee, Idli, Masala Dosa, Vada",South Indian,2150.0,Dine-out,High
Restaurant_5,No,No,3.5,184,JP Nagar,Quick Bites,"Kebab, Nihari, Biryani",Mughlai,300.0,Dine-out,Medium
Restaurant_6,No,No,3.6,2011,Bellandur,Dessert Parlor,"Ramen, Miso Soup, Tempura",Japanese,350.0,Dine-out,Medium
Restaurant_7,Yes,No,3.6,654,Jayanagar,Delivery,"Fried Rice, Noodles, Spring Rolls, Manchurian",Chinese,400.0,Delivery,Medium
Restaurant_8,Yes,No,4.2,119,Marathahalli,Quick Bites,"Brownie, Ice Cream, Cake, Pastry",Desserts,200.0,Dine-out,High
Restaurant_9,No,Yes,4.4,426,Malleshwaram,Fine Dining,"Miso Soup, Ramen, Sushi, Tempura",Japanese,1250.0,Dine-out,High
Restaurant_10,No,Yes,5.0,471,Whitefield,Fine Dining,"Nihari, Haleem",Mughlai,1350.0,Dine-out,High
Restaurant_11,No,Yes,4.0,406,Marathahalli,Beverage Shop,"Manchurian, Spring Rolls, Fried Rice",Chinese,100.0,Dine-out,High
Restaurant_12,Yes,Yes,3.7,425,Rajajinagar,Beverage Shop,"Chicken Biryani, Veg Biryani, Mutton Biryani, Raita",Biryani,100.0,Dine-out,Medium
